sequence_id,step,action_code,action_name,growth_stage
S001,1,FIELD_SCOUTING,田间巡查,苗期
S001,2,PEST_SAMPLE,增加虫情采样,苗期
S001,3,COUNT_DENSITY,记录虫口密度,苗期
S001,4,RECHECK_LEAF,复查叶片状态,苗期
S002,1,FIELD_SCOUTING,田间巡查,蕾期
S002,2,GROWTH_ASSESSMENT,长势评估,蕾期
S002,3,PEST_SAMPLE,增加虫情采样,蕾期
S002,4,UPDATE_RECORD,更新棉田记录并复盘,蕾期
S003,1,FIELD_SCOUTING,田间巡查,花铃期
S003,2,PEST_SAMPLE,增加虫情采样,花铃期
S003,3,COUNT_DENSITY,记录虫口密度,花铃期
S003,4,BOLL_CHECK,棉铃发育检查,花铃期
S004,1,WEED_MONITOR,杂草监测,苗期
S004,2,FIELD_SCOUTING,田间巡查,苗期
S004,3,GROWTH_ASSESSMENT,长势评估,苗期
S004,4,UPDATE_RECORD,更新棉田记录并复盘,苗期
S005,1,DRAINAGE_CHECK,雨后排水检查,蕾期
S005,2,FIELD_SCOUTING,田间巡查,蕾期
S005,3,RECHECK_LEAF,复查叶片状态,蕾期
S005,4,UPDATE_RECORD,更新棉田记录并复盘,蕾期
S006,1,FIELD_SCOUTING,田间巡查,吐絮期
S006,2,BOLL_CHECK,棉铃发育检查,吐絮期
S006,3,GROWTH_ASSESSMENT,长势评估,吐絮期
S006,4,UPDATE_RECORD,更新棉田记录并复盘,吐絮期
S007,1,PEST_SAMPLE,增加虫情采样,花铃期
S007,2,COUNT_DENSITY,记录虫口密度,花铃期
S007,3,RECHECK_LEAF,复查叶片状态,花铃期
S007,4,UPDATE_RECORD,更新棉田记录并复盘,花铃期
S008,1,GROWTH_ASSESSMENT,长势评估,蕾期
S008,2,FIELD_SCOUTING,田间巡查,蕾期
S008,3,BOLL_CHECK,棉铃发育检查,蕾期
S008,4,UPDATE_RECORD,更新棉田记录并复盘,蕾期
S009,1,FIELD_SCOUTING,田间巡查,花铃期
S009,2,WEED_MONITOR,杂草监测,花铃期
S009,3,PEST_SAMPLE,增加虫情采样,花铃期
S009,4,COUNT_DENSITY,记录虫口密度,花铃期
S010,1,DRAINAGE_CHECK,雨后排水检查,花铃期
S010,2,FIELD_SCOUTING,田间巡查,花铃期
S010,3,BOLL_CHECK,棉铃发育检查,花铃期
S010,4,UPDATE_RECORD,更新棉田记录并复盘,花铃期
